title,release_date,album,lyrics
Amor Tumbado,2019-12-23,,"17 ContributorsAmor Tumbado Lyrics[Letra de ""Amor Tumbado""]

[Verso 1]
Para ser directo, no me arrepiento
Cosas de la vida o de la mía
Tú fuiste un momento y te agradezco
Pero no eras mía y lo sabías

[Pre-Coro]
No fue mucho tiempo, eso lo acepto
Pero creía lo que sentía
No respondías y me moría
Tú me tenías y lo sabías
Yo no soy aquel que te dio rosas
Pero te di mi corazón, y es más valiosa
La forma en que te trataba y lo superé

[Coro]
La canción se acaba y tú constante
El WhatsApp me lo estás llenando de mensajes
Que ya no llames
Que el amor también se vuelve odio recordé

[Interludio]
Lil' bitch
Nata, ¡e-ah!
You might also like[Pre-Coro]
No fue mucho tiempo, eso lo acepto
Pero creía lo que sentía
No respondías y me moría
Tú me tenías y lo sabías
Yo no soy aquel que te dio rosas
Pero te di mi corazón, y es más valiosa
La forma en que te trataba y lo superé

[Coro]
La canción se acaba y tu constante
El WhatsApp me lo estás llenando de mensajes
Que ya no llames
Que el amor también se vuelve odio recordé15Embed"
Soy el Diablo,2019-06-21,,"7 ContributorsSoy el Diablo Lyrics[Letra de ""Soy El Diablo""]

[Intro]
Ea

[Verso 1]
Me la navego en todos lados, siempre con ojos tumbados
En la bola destacado, siempre piso con cuidado
Soy alegre y desatado, la vagancia me ha gustado
Estoy bien relacionado y de espantos bien curado
No se metan con el diablo que pueden salir quemado'
Siempre pensando positivo y evito lo negativo
Yo sé muy bien lo que digo, no suelo ser conflictivo
Pero traigo una Beretta pa’l que se pase de vivo
Pónganse trucha, cabrones, nunca se metan conmigo
Si tienen algún problema, con gusto aquí lo recibo
Yo no ando con chingaderas ni tampoco de manguera
Los pies firmes en la tierra, somos de buena madera
Mi madre es mi vida entera y listo estoy pa' lo que venga
Mi familia tendrá todo hasta el día en que yo me muera
Perdón a mis jefecitos por ser un dolor de muelas, ¡ea!

[Puente Instrumental]

[Verso 2]
Malas experiencias he pasado, pero nunca le he sacado
Recuerdo cuando perreaba pa' levantar un centavo
Pero hoy me he superado, pues, bien duro he trabajado
Nunca me di por vencido hasta que diera vuelta el dado
Hoy tengo lo que yo quiero, pero no ando de elevado
Hoy sé quién está conmigo y quién es el convenenciero
Te sobran las amistades cuando saben que hay dinero
Y te lloverán mujeres, todas te dicen ""Te quiero""
Pero cuando tienes nada la gente trata culero
Por eso camino solo, y de nadie nada espero
Soy el vago del vecindario que todos vieron pa’ abajo
El que vestía prendas usadas y trataron del carajo
Del que todos se burlaron y mil puertas le cerraron
Al que todos humillaban y hasta el agua le negaron
Hoy las cosas han cambiado, hoy me hice muy respetadoYou might also likeEmbed"
El Drip,2019-10-15,,"9 ContributorsEl Drip Lyrics[Letra de ""El Drip""]

[Verso 1]
Con un vasito en la mano y el cuerpo siento cansado
Fumando muy relajado y la fiesta no va a parar
Supreme la ropita y la clica no se me agüita
Las onzas él las invita y pura mota que es medicinal
No se me agüite, mejor péguese un baile con la niña de allá
Con cupcake nos vamos, el cuerpo siento elevado
Las morras aquí a mi lado, hay puras niñas, yo soy su papá
Cupcake en las pipas, la gente viene y se atiza
Los Versace siempre en mi vista, varias naves que mandé a arreglar

[Estribillo]
En el cuello tengo todo el brillo que yo quiero
Y no me digan que no puedo porque saben que las puedo
Y varios diamonds en el pecho son los que luce este viejo
Con la mirada hacia el cielo y los pies puestos en el suelo

[Interludio]
Puros corridos tumbados, viejones, ¡ea!

[Verso 2]
Con el Lalo por un lado tomando un jarabe extraño
Y nunca jamás le había dado y ahora no quiero bajar
Indica, me indica todos mis planes me activa
La mente siempre en mi línea y una línea que es pa' despertar
No se me agüite, mejor péguese un baile con la niña de allá
You might also like[Estribillo]
En el cuello tengo todo el brillo que yo quiero
Y no me digan que no puedo porque saben que las puedo
Y varios diamonds en el pecho son los que luce este viejo
Con la mirada hacia el cielo y los pies puestos en el suelo6Embed"
Pacas Verdes,2020-03-20,,"9 ContributorsPacas Verdes Lyrics[Letra de ""Pacas Verdes""]

[Verso 1: Ovi]
¡Ya!
Pacas verdes duplicamos
Y aquí andamos, el negocio está redondo
Y me la paso en mi Camaro, ruleteando
El dinero no ha cambiado mi persona, sigo humilde
Y ahora e' Louis Vuitton, también un cantón
Con un Rolex en la mano por L.A. en un Rolls Royce

[Coro: Ovi]
Y aquí ando al millón, contando un millón
Envidiosos me la pelan, valen verga, porque saben que (Que)
Yo siempre ando al tiro con los míos por si hay lío
Mucha lacra, no confío, y es así, no, no, no
Malas vibras yo nunca transmito
Con mi San Judas bendito me la paso siempre a donde voy

[Interludio: Ovi & Natanael Cano]
Y así suena, jaja
Y así suena el Ovi, pa'
Y su compa (Dice)
Natanael Cano, viejones
Ayayay
You might also like[Verso 2: Natanael Cano & Ovi]
¡Ya!
Desde cero fui creciendo
Varios manchan nuestro nombre
Pero tenemos las metas en el cielo, serio sielvo
Un millón en la muñeca
Y ya ando comprándome una casa en New York
Que es un cantón
Me gasté otra feria en prendas pero quedó pa' un librón

[Coro: Natanael Cano, Natanael Cano & Ovi]
Y aquí ando al millón, contando el millón
Envidiosos me la pelan, valen verga, porque saben que
Yo siempre ando al tiro con los míos por si hay lío
Mucha lacra, no confío, y es así, no, no, no
Malas vibras yo nunca transmito
Con mi San Judas bendito me la paso siempre a donde voy

[Outro: Ovi]
Dice
Dímelo, Cano
Dímelo, Dani
Y así suenan los corridos tumbados, perro
Puro Rancho Humilde, yah
Latinoamérica, México
¡Ya!2Embed"
Arriba,2020-05-5,,"14 ContributorsArriba Lyrics[Letra de ""Arriba""]

[Estribillo]
Que nos fuimos de casa persiguiendo un sueño cuando nadie nos miraba tan arriba
Tenemos los sueños y metas que nadie en el mundo vería
Porque somos así, porque nos tocó esto a nosotros vivir
Porque nacimos así, simplemente vivimos la vida, yo soy feliz

[Verso 1]
Vale verga lo que digan, yo siempre ando arriba
Cannabis sativa, la que me domina
La que traigo encima, la que me tumba
La que me pone siempre bien arriba
El tiempo que pasa lo quemo en la mente
Pensando en cosas que te haría
Yo a ti te comía si tú fueras mía
Pero no importa, no te merecías
Dime, ¿tú qué vas a hacer?
Si mañana vas a querer volver
Tú bien lo sabes que yo no estoy bien
Ni para cuentos, el tiempo perder
Recuerda, yo siempre ando arriba
Chambeando de noche y de día
Con toda la clica me miran
Festejando con botellas y con niñas
You might also like[Refrán]
Ya dime si quieres estar conmigo o si mejor me voy (Ah, ah)
Tus besos dicen que tú sí me quieres pero tus palabras no

[Estribillo]
Que nos fuimos de casa persiguiendo un sueño cuando nadie nos miraba tan arriba
Tenemos los sueños y metas que nadie en el mundo vería
Porque somos así, porque nos tocó esto a nosotros vivir
Porque nacimos así, simplemente vivimos la vida, yo soy feliz

[Interludio]
Y esta no es la misma historia de siempre, ¿sabes?
¡Nata!
Y aquí somos Rancho Humilde, viejones
Ah, ah, ah, jajaja
Dímelo, Krizous

[Verso 2]
Que salimos de casa persiguiendo un sueño y cuando menos esperaba lo alcancé
Tenemos los carros, los jet
Amigos, mujeres, verdes
Fumamos, nos vamos a Marte
Bebé, yo solo quiero darte
Contigo en la cama acostarme
Perdona por ser un farsante
[Refrán]
Ya dime si quieres estar conmigo o si mejor me voy (Ah, ah)
Tus besos dicen que tú sí me quieres pero tus palabras no8Embed"
Mi Bello Ángel,2023-06-30,,"5 ContributorsMi Bello Ángel Lyrics[Letra de ""Mi Bello Ángel""]

[Verso 1]
Miras con tanta dulzura, hermosa criatura
Tú mi bello ángel que cayó del cielo
Soy un simple pobre diablo que corrió con suerte
Que logró obtenerte por obra divina
Pues en cada esquina te busqué

[Coro]
Solo tú eres la persona, la que me ilusiona
La que me emociona, por ti pierdo el rumbo
Y en cada segundo me voy de este mundo con sentirte a ti
Entre el cielo y el infierno
Solo hay un еspacio, solo hay un abismo
Es que yo pierdo el ritmo cuando mе abandonas
Y me quedo solo, solo sin ti

[Interludio Instrumental]

[Verso 2]
Viniste a reconformarme, a rehabilitarme, tú mi bello ángel
Yo estaba perdido
Siento que después de ti yo soy otra persona, ya no me conozco
¿Qué pasó conmigo?
Por eso te digo que tú
You might also like[Coro]
Solo tú eres la persona, la que me ilusiona
La que me emociona, por ti pierdo el rumbo
Y en cada segundo me voy de este mundo con sentirte a ti
Entre el cielo y el infierno
Solo hay un espacio, solo hay un abismo
Es que yo pierdo el ritmo cuando me abandonas
Y me quedo solo, solo sin ti
Solo tú eres la persona, la que me ilusiona
La que me emociona, por ti pierdo el rumbo
Y en cada segundo me voy de este mundo con sentirte a ti
Entre el cielo y el infierno
Solo hay un espacio, solo hay un abismo
Es que yo pierdo el ritmo cuando me abandonas
Y me quedo solo, solo sin ti

[Outro Instrumental]Embed"
Diamantes,2021-05-28,,"6 ContributorsDiamantes Lyrics[Letra de ""Diamantes""]

[Verso 1]
Traigo la muñeca bien repleta de diamantes
Es cierto que ya no soy el mismo que yo era antes
Tengo mujeres esperándome en  todas partes
Entre menos contesto, más me dejan mensajes
El cuerpo tumbado lo siento, es la codeína
Las nalgas de una morrita me brincan encima
Yo le compro Balenciaga, ella no quiere Adidas
Quiero una baby nueva para fumar sativa

[Coro]
Y prendo un cigarrito nomás pa' tirar al viеnto
Lo malo se pasa cuando fumo y lo siento
La noche no sе acaba y el sol ya saliendo
Soda de piña en los lados se va escurriendo
El doble vaso en mi mano siempre está lleno
Un waxesito nomás pa' pasar el tiempo, ey
Nos vemos luego

[Interludio]
Y puros corridos tumbados, viejones
¡Eah!

[Verso 2]
Hablamos luego, baby, voy aterrizando
Acá por Miami el solecito está pegando
A mí las envidias ya me tienen sin cuidado
No me quita el sueño, yo solo sigo fumando
Mi madre no sufre y ahora luce diferente
No se preocupa porque ya no hay ningún pendiente
Traigo la muñeca bien repleta de diamantes
Es cierto que ya no soy el mismo que yo era antes
You might also like[Coro]
Y prendo un cigarrito nomás pa' tirar al viento
Lo malo se pasa cuando fumo y lo siento
La noche no se acaba y el sol ya saliendo
Soda de piña en los lados se va escurriendo
El doble vaso en mi mano siempre está lleno
Un waxesito nomás pa' pasar el tiempo
Nos vemos luego

[Outro Instrumental]Embed"
No Soy lo Que Piensas,2020-02-14,,"8 ContributorsNo Soy lo Que Piensas Lyrics[Letra de ""No Soy Lo Que Piensas"" ft. Porte Diferente]

[Verso 1: Porte Diferente & Natanael Cano]
Me prendo un gallito y luego me levanto
Me miro y yo en el espejo me pongo a pensar
Me cambio, me llevo Buchanan's y marihuana
Y prendo ya mi troquita, me voy ir a enfiestar
Ya llegué, la música suena
Pero bien endrogado con muchas mujere' para amanecer
Me encuentro una mujer bien hermosa, sí
Olía muchas mariposas, su forma de reír

[Puente: Porte Diferente & Natanael Cano]
Y así suena, Porte Diferente, chiquita
Su compa, Natanael Cano, viejones

[Verso 2: Natanael Cano & Porte Diferente]
No te vayas a enamorar más de mí
Porque yo no soy lo que piensas
Te puedo hacer sufrir
Te lo advierto, no quiero que digas que me amas
Porque cada día ando con otra
No te lo voy a volver a decir
Vete ya, porque tú sabes que sufrirás de más
Soy imbécil, pues tú ya sabes
Yo no sé amar
No te debo que dar tanta explicaciones
Pero ya gente me derrotaron
Todos mis cariñosYou might also likeEmbed"
Pacas De Billetes,2023-05-1,,"7 ContributorsPacas De Billetes Lyrics[Letra de ""Pacas De Billetes""]

[Verso 1]
Pacas de billetes y una mente que las puede
Desde plebes sabíamos que íbamos pa' este level
Me cambió la vida, nos cambió ya el modo
Nunca para abajo siempre para arriba
No me hizo menos ni un cabrón, nunca pudieron
Carrito del año y hasta gente que me cuida
Un Bugatti Chiron me lo compro, Dios me guía
Ya no me detienen, bola de hocicones
Ya traigo con que, por si quieren querermе
Y no andamos jugando y hágale si quiere

[Coro]
Siеmpre me miré tranquilo
Y al negocio siempre le metí los kilos
Ando trabajando, me abrí los caminos
Unos dicen que yo ya no soy el mismo
Me aferré a la vida buena
Con clase y estilo todo estaba afuera
Hoy me bajo verga, a subir la escalera
No van a poder tumbarme aunque quisieran

[Interludio]
¡Eah!, y bien jalados
Y arriba la bandera viejo
You might also like[Verso 2]
701 la clave que se respeta
La mente brillante y el negocio la receta, traigo medicina
Pa' curar enfermos música en la casa, tengo en la cocina
Alterando el sistema así es como se mueve
Rolando por playas, por las nubes mis placeres
Un Jet Ski en Miami, por el mundo y las mujeres
Traigan a la cuenta
Una botellita, destapo champaña, coroné la vuelta
Y una de nueve tiros, cargo una Beretta

[Coro]
Siempre me miré tranquilo
Y al negocio siempre le metí los kilos
Ando trabajando, me abrí los caminos
Unos dicen que yo ya no soy el mismo
Me aferré a la vida buena
Con clase y estilo todo estaba afuera
Hoy me bajo verga, a subir la escalera
No van a poder tumbarme aunque quisieranEmbed"
La Torre NY,2019-12-24,,"8 ContributorsLa Torre NY Lyrics[Letra de ""La Torre NY""]

[Verso 1]
Ya no tengo miedo de irme a dormir
Ya no pierdo el tiempo llorando y pensando en ti
Saco un lighter prendo uno pa' no sentir
Y acordarme de todos esas veces que me arrepentí

[Coro]
No, no se preocupen que hoy, nos va mucho mejor
La torre Nueva York respleta de playboys
No, no se preocupen que hoy nos va mucho mejor
Diamantes de a montón o Rolex y un cantón

[Interludio]
Y nos va mucho mejor viejones, Compa Junior, Compa Nata
Puros corridos tumba'os pa' Puro Rancho Humilde

[Verso 2]
Hace bastante tiempo que te vi
Recuerdos sabias que moría por ti
Aún no hay motivos de tofio partir
Pero no importa porque hoy soy feliz

[Coro]
No, no se preocupen que hoy, nos va mucho mejor
La torre Nueva York respleta de playboys
No, no se preocupen que hoy nos va mucho mejor
Me prendo un gallo y vuelo lejos del mundoYou might also like1Embed"
